Time,V(I=0.0),V(I=0.3),V(I=0.6)
58.0,-1.1994144177960933,-1.0565552361355486,-1.826265701373645
58.5,-1.1994132964008033,-1.0458089239625405,-1.7987262689240329
59.0,-1.1994122997591883,-1.0348367143914048,-1.7703357932416155
59.5,-1.1994114237838198,-1.0237598083914627,-1.741509743143264
60.0,-1.1994106624263263,-1.0126875328445644,-1.7124706430577863
60.5,-1.199410008258477,-1.0017206864506436,-1.6833300939000977
61.0,-1.199409452956572,-0.9909544243021731,-1.6541377013895515
61.5,-1.199408987699167,-0.9804807371971173,-1.624908948419434
62.0,-1.1994086034879898,-0.9703905735543987,-1.595640362778967
62.5,-1.1994082914015283,-0.9607756342483856,-1.5663173923688751
63.0,-1.1994080427902676,-0.9517298467370052,-1.5369182485056556
63.5,-1.1994078494219331,-0.9433504957806191,-1.5074155607301065
64.0,-1.1994077035844288,-0.9357389543333315,-1.4777768284104729
64.5,-1.1994075981534484,-0.9290009203774404,-1.4479641643234225
65.0,-1.1994075266310265,-0.9232460249854766,-1.417933553691225
65.5,-1.1994074831605874,-0.9185866369976772,-1.387633699553469
66.0,-1.1994074625233742,-0.9151356566392946,-1.3570044315545875
66.5,-1.1994074601204907,-0.9130030745844979,-1.3259745845146722
67.0,-1.1994074719441936,-0.9122910898741281,-1.2944591828598844
67.5,-1.1994074945415114,-0.9130876501040228,-1.2623556793574613
68.0,-1.199407524972769,-0.9154584233700578,-1.2295388725746834
68.5,-1.1994075607671384,-0.9194374530120042,-1.1958539406428665
69.0,-1.1994075998769387,-0.925017088099997,-1.1611067372851722
69.5,-1.1994076406320497,-0.9321381995342224,-1.1250500285359886
70.0,-1.1994076816955015,-0.9406821119340445,-1.0873635799384997
70.5,-1.1994077220210317,-0.9504659799542435,-1.0476247069577467
71.0,-1.1994077608131863,-0.961243351031691,-1.0052636506173471
71.5,-1.199407797490343,-0.9727112336162035,-0.9594941150166318
72.0,-1.1994078316508872,-0.984524072555794,-0.9092018662140859
72.5,-1.1994078630426448,-0.9963137372682311,-0.8527600684894114
73.0,-1.1994078915355697,-1.0077132680692278,-0.7877118509513366
73.5,-1.1994079170976149,-1.0183811348290606,-0.7102028587176841
74.0,-1.199407939773647,-1.0280225151109748,-0.613925422377531
74.5,-1.1994079596672336,-1.0364047242166474,-0.4880839727953996
75.0,-1.1994079769250905,-1.043365227113114,-0.31342742367672166
75.5,-1.1994079917239704,-1.0488121930496481,-0.05508093161995159
76.0,-1.1994080042597597,-1.0527188472645963,0.3446397069998816
76.5,-1.199408014738549,-1.055113625510649,0.9317817085356663
77.0,-1.199408023369453,-1.0560682879533592,1.523285119624036
77.5,-1.199408030358958,-1.0556858396618267,1.7589877329406673
78.0,-1.1994080359065924,-1.0540895598427356,1.8201816658475458
78.5,-1.199408040201728,-1.051413865202297,1.829275984649835
79.0,-1.1994080434213361,-1.047797254113394,1.8161171643265817
79.5,-1.1994080457285392,-1.0433772486647697,1.7917142318252366
80.0,-1.1994080472718154,-1.0382870663247048,1.7612271243572413
80.5,-1.1994080481847276,-1.0326536792883094,1.7273218308195637
81.0,-1.19940804858607,-1.02659691871755,1.6913958037945058
81.5,-1.1994080485803322,-1.0202293195976349,1.6541536510804116
82.0,-1.1994080482584009,-1.013656455927279,1.6159155434586085
82.5,-1.199408047698428,-1.006977570731454,1.5767871669350155
83.0,-1.19940804696681,-1.0002863532826156,1.5367504736298796
83.5,-1.199408046119228,-0.9936717539532928,1.4957085682839977
84.0,-1.1994080452017104,-0.9872187550298275,1.4535041204271424
84.5,-1.1994080442516895,-0.9810090347038751,1.409921841652818
85.0,-1.1994080432990266,-0.9751214730147859,1.364679837257575
85.5,-1.199408042366989,-0.969632454608234,1.3174107786048495
86.0,-1.1994080414731663,-0.9646159257017384,1.2676307267904086
86.5,-1.1994080406303167,-0.9601431635396069,1.214689959180859
87.0,-1.199408039847141,-0.9562822179225032,1.1576949152942928
87.5,-1.1994080391289796,-0.9530969883442751,1.0953810685654595
88.0,-1.1994080384784354,-0.9506459093085761,1.0258985256401107
88.5,-1.1994080378959207,-0.948980233095953,0.9464353978580202
89.0,-1.1994080373801363,-0.9481419260083239,0.8525255399456808
89.5,-1.199408036928485,-0.9481612326321073,0.7367138641044328
90.0,-1.1994080365374211,-0.9490540131257269,0.5858664057025451
90.5,-1.1994080362027473,-0.9508190186144182,0.37563027760079665
91.0,-1.1994080359198593,-0.9534353335692732,0.05984598170635347
91.5,-1.1994080356839472,-0.9568602714599449,-0.43925476327908203
92.0,-1.1994080354901544,-0.9610280470033297,-1.1562585024543366
92.5,-1.1994080353337047,-0.9658495489218283,-1.715431284264303
93.0,-1.1994080352099976,-0.9712134868310923,-1.85641815644299
93.5,-1.1994080351146785,-0.9769890770447192,-1.8961595172667243
94.0,-1.1994080350436882,-0.9830302691695326,-1.9023494382725765
94.5,-1.1994080349932927,-0.9891813181880338,-1.892645284230434
95.0,-1.199408034960101,-0.995283309276322,-1.8742977283089592
95.5,-1.1994080349410678,-1.001181086215288,-1.8510361113385436
96.0,-1.19940803493349,-1.0067299562597554,-1.8249849991941305
96.5,-1.1994080349349938,-1.011801566018474,-1.7973893091622837
97.0,-1.1994080349435192,-1.016288461660834,-1.7689694719731086
97.5,-1.199408034957298,-1.0201070362003104,-1.7401287708144655
98.0,-1.1994080349748308,-1.023198784801096,-1.7110826447178704
98.5,-1.1994080349948635,-1.0255299916218936,-1.6819386998240942
99.0,-1.1994080350163618,-1.0270901241696189,-1.652744339230208
99.5,-1.1994080350384875,-1.0278892962244945,-1.6235138360449182
100.0,-1.1994080350605738,-1.02795517869837,-1.5942430342526268
100.5,-1.1994080350821037,-1.0273297030568682,-1.5649169628048059
101.0,-1.1994080351026888,-1.0260658341437034,-1.535513536860832
101.5,-1.1994080351220497,-1.0242246082020472,-1.5060051355924369
102.0,-1.1994080351399983,-1.0218725531256532,-1.4763590104317563
102.5,-1.1994080351564222,-1.019079541185985,-1.4465370014418353
103.0,-1.1994080351712704,-1.0159170739075762,-1.4164947756252055
103.5,-1.1994080351845406,-1.012456964584013,-1.3861806524535323
104.0,-1.199408035196269,-1.0087703639046186,-1.3555339899460324
